epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,238.162,1.24726,0.60272,1.05461,0.96076,0.98921,0.99063,0.5723,1.43296,0.62785,1.1478,0.0004358,0.0004358,0.0004358
81,240.821,1.28719,0.63316,1.08391,0.95677,0.9899,0.99182,0.57553,1.42955,0.62573,1.14668,0.000416,0.000416,0.000416
82,243.455,1.31429,0.62743,1.05835,0.96083,0.99116,0.99184,0.57843,1.37975,0.61778,1.13486,0.0003962,0.0003962,0.0003962
83,246.074,1.24905,0.63923,1.04783,0.97024,0.98793,0.99168,0.5922,1.37229,0.60665,1.12711,0.0003764,0.0003764,0.0003764
84,248.683,1.21316,0.62422,1.02891,0.97512,0.98974,0.99183,0.58601,1.3602,0.60406,1.12704,0.0003566,0.0003566,0.0003566
85,251.289,1.22814,0.61573,1.06421,0.97319,0.9899,0.9921,0.58722,1.3649,0.60552,1.13478,0.0003368,0.0003368,0.0003368
86,253.875,1.21631,0.62237,1.06093,0.9733,0.9899,0.99195,0.59289,1.34977,0.59863,1.12879,0.000317,0.000317,0.000317
87,256.491,1.23828,0.61375,1.04738,0.98009,0.99458,0.99178,0.60237,1.32792,0.59598,1.123,0.0002972,0.0002972,0.0002972
88,259.218,1.25031,0.61509,1.0469,0.97531,0.99741,0.99208,0.59688,1.33924,0.59788,1.13249,0.0002774,0.0002774,0.0002774
89,261.824,1.21549,0.60552,1.03074,0.97611,0.98485,0.99299,0.59579,1.35372,0.59715,1.13917,0.0002576,0.0002576,0.0002576
90,264.422,1.20707,0.60087,1.0337,0.96089,1,0.99332,0.59156,1.36468,0.60317,1.13592,0.0002378,0.0002378,0.0002378
91,286.145,1.2222,0.65458,1.06779,0.96582,0.9991,0.99343,0.58164,1.37865,0.61151,1.1278,0.000218,0.000218,0.000218
92,288.739,1.24295,0.63053,1.06237,0.96802,0.9899,0.99207,0.58725,1.35939,0.60065,1.12271,0.0001982,0.0001982,0.0001982
93,291.345,1.21659,0.60281,1.04592,0.97029,0.98974,0.9912,0.59326,1.31812,0.58791,1.11962,0.0001784,0.0001784,0.0001784
94,294.029,1.24321,0.60674,1.04097,0.96805,0.97475,0.98932,0.59817,1.29444,0.58547,1.12076,0.0001586,0.0001586,0.0001586
95,296.693,1.18455,0.58616,1.02586,0.97297,0.97475,0.9891,0.59913,1.29303,0.57794,1.12188,0.0001388,0.0001388,0.0001388
96,299.357,1.16698,0.58532,1.03443,0.97482,0.97755,0.98968,0.60294,1.29411,0.58091,1.12603,0.000119,0.000119,0.000119
97,302.115,1.21752,0.58912,1.06004,0.96859,0.9899,0.98902,0.60532,1.30352,0.5907,1.13074,9.92e-05,9.92e-05,9.92e-05
98,304.879,1.16909,0.58384,1.03613,0.9751,0.98873,0.98943,0.60112,1.31745,0.59116,1.13022,7.94e-05,7.94e-05,7.94e-05
99,307.526,1.17275,0.57068,1.03519,0.96901,0.9899,0.98873,0.59594,1.3235,0.59097,1.12532,5.96e-05,5.96e-05,5.96e-05
100,310.198,1.16935,0.58724,1.01717,0.96976,0.9899,0.98868,0.59438,1.32946,0.59001,1.12128,3.98e-05,3.98e-05,3.98e-05
